date,county,state,fips,cases,deaths
20/2/21,Autauga,Alabama,1001,6092,85
20/2/21,Baldwin,Alabama,1003,19392,262
20/2/21,Barbour,Alabama,1005,2067,50
20/2/21,Bibb,Alabama,1007,2414,58
20/2/21,Blount,Alabama,1009,6040,125
20/2/21,Bullock,Alabama,1011,1149,33
20/2/21,Butler,Alabama,1013,1938,64
20/2/21,Calhoun,Alabama,1015,12915,278
20/2/21,Chambers,Alabama,1017,3364,99
20/2/21,Cherokee,Alabama,1019,1753,37
20/2/21,Chilton,Alabama,1021,3777,93
20/2/21,Choctaw,Alabama,1023,546,23
20/2/21,Clarke,Alabama,1025,3418,48
20/2/21,Clay,Alabama,1027,1416,54
20/2/21,Cleburne,Alabama,1029,1351,38
20/2/21,Coffee,Alabama,1031,5198,96
20/2/21,Colbert,Alabama,1033,5965,117
20/2/21,Conecuh,Alabama,1035,1064,23
20/2/21,Coosa,Alabama,1037,858,23
20/2/21,Covington,Alabama,1039,3896,102
20/2/21,Crenshaw,Alabama,1041,1421,52
20/2/21,Cullman,Alabama,1043,8822,175
20/2/21,Dale,Alabama,1045,4587,106
20/2/21,Dallas,Alabama,1047,3328,138
20/2/21,DeKalb,Alabama,1049,8399,173
20/2/21,Elmore,Alabama,1051,9228,178
20/2/21,Escambia,Alabama,1053,3740,68
20/2/21,Etowah,Alabama,1055,13042,307
20/2/21,Fayette,Alabama,1057,1982,54
20/2/21,Franklin,Alabama,1059,3954,75
20/2/21,Geneva,Alabama,1061,2370,67
20/2/21,Greene,Alabama,1063,863,32
20/2/21,Hale,Alabama,1065,2057,64
20/2/21,Henry,Alabama,1067,1801,41
20/2/21,Houston,Alabama,1069,9991,255
20/2/21,Jackson,Alabama,1071,6428,99
20/2/21,Jefferson,Alabama,1073,70078,1334
20/2/21,Lamar,Alabama,1075,1292,32
20/2/21,Lauderdale,Alabama,1077,8515,208
20/2/21,Lawrence,Alabama,1079,2794,85
20/2/21,Lee,Alabama,1081,14779,146
20/2/21,Limestone,Alabama,1083,9253,130
20/2/21,Lowndes,Alabama,1085,1298,46
20/2/21,Macon,Alabama,1087,1392,43
20/2/21,Madison,Alabama,1089,31869,432
20/2/21,Marengo,Alabama,1091,2303,54
20/2/21,Marion,Alabama,1093,2729,92
20/2/21,Marshall,Alabama,1095,11165,199
20/2/21,Mobile,Alabama,1097,35289,705
20/2/21,Monroe,Alabama,1099,1652,38
20/2/21,Montgomery,Alabama,1101,22234,481
20/2/21,Morgan,Alabama,1103,13468,241
20/2/21,Perry,Alabama,1105,1045,27
20/2/21,Pickens,Alabama,1107,2211,53
20/2/21,Pike,Alabama,1109,2907,70
20/2/21,Randolph,Alabama,1111,1602,40
20/2/21,Russell,Alabama,1113,3984,30
20/2/21,Shelby,Alabama,1117,21565,204
20/2/21,St. Clair,Alabama,1115,8705,213
20/2/21,Sumter,Alabama,1119,977,31
20/2/21,Talladega,Alabama,1121,7391,161
20/2/21,Tallapoosa,Alabama,1123,3504,139
20/2/21,Tuscaloosa,Alabama,1125,23737,404
20/2/21,Walker,Alabama,1127,6443,240
20/2/21,Washington,Alabama,1129,1542,32
20/2/21,Wilcox,Alabama,1131,1200,25
20/2/21,Winston,Alabama,1133,2437,63
20/2/21,Aleutians East Borough,Alaska,2013,355,1
20/2/21,Aleutians West Census Area,Alaska,2016,489,0
20/2/21,Anchorage,Alaska,2020,26184,151
20/2/21,Bethel Census Area,Alaska,2050,3527,18
20/2/21,Bristol Bay plus Lake and Peninsula,Alaska,2997,176,0
20/2/21,Denali Borough,Alaska,2068,68,0
20/2/21,Dillingham Census Area,Alaska,2070,196,1
20/2/21,Fairbanks North Star Borough,Alaska,2090,6058,26
20/2/21,Haines Borough,Alaska,2100,24,0
20/2/21,Juneau City and Borough,Alaska,2110,1192,3
20/2/21,Kenai Peninsula Borough,Alaska,2122,3942,19
20/2/21,Ketchikan Gateway Borough,Alaska,2130,330,2
20/2/21,Kodiak Island Borough,Alaska,2150,1051,5
20/2/21,Kusilvak Census Area,Alaska,2158,1186,3
20/2/21,Matanuska-Susitna Borough,Alaska,2170,8284,33
20/2/21,Nome Census Area,Alaska,2180,322,0
20/2/21,North Slope Borough,Alaska,2185,998,4
20/2/21,Northwest Arctic Borough,Alaska,2188,584,1
20/2/21,Petersburg Borough,Alaska,2195,48,0
20/2/21,Prince of Wales-Hyder Census Area,Alaska,2198,70,1
20/2/21,Sitka City and Borough,Alaska,2220,303,0
20/2/21,Skagway Municipality,Alaska,2230,18,0
20/2/21,Southeast Fairbanks Census Area,Alaska,2240,443,3
20/2/21,Unknown,Alaska,,253,0
20/2/21,Valdez-Cordova Census Area,Alaska,2261,461,2
20/2/21,Wrangell City and Borough,Alaska,2275,26,0
20/2/21,Yakutat plus Hoonah-Angoon,Alaska,2998,64,1
20/2/21,Yukon-Koyukuk Census Area,Alaska,2290,327,4
20/2/21,Apache,Arizona,4001,10244,365
20/2/21,Cochise,Arizona,4003,10980,260
20/2/21,Coconino,Arizona,4005,16209,306
20/2/21,Gila,Arizona,4007,6342,209
20/2/21,Graham,Arizona,4009,5251,71
20/2/21,Greenlee,Arizona,4011,551,8
20/2/21,La Paz,Arizona,4012,2379,69
20/2/21,Maricopa,Arizona,4013,504383,8816
20/2/21,Mohave,Arizona,4015,20812,625
20/2/21,Navajo,Arizona,4017,15448,478
20/2/21,Pima,Arizona,4019,108094,2146
20/2/21,Pinal,Arizona,4021,45434,742
20/2/21,Santa Cruz,Arizona,4023,7609,167
20/2/21,Yavapai,Arizona,4025,17175,448
20/2/21,Yuma,Arizona,4027,36252,770
20/2/21,Arkansas,Arkansas,5001,1941,38
20/2/21,Ashley,Arkansas,5003,1742,33
20/2/21,Baxter,Arkansas,5005,2777,96
20/2/21,Benton,Arkansas,5007,26679,383
20/2/21,Boone,Arkansas,5009,3580,78
20/2/21,Bradley,Arkansas,5011,1316,31
20/2/21,Calhoun,Arkansas,5013,387,3
20/2/21,Carroll,Arkansas,5015,2709,41
20/2/21,Chicot,Arkansas,5017,1583,40
20/2/21,Clark,Arkansas,5019,1990,36
20/2/21,Clay,Arkansas,5021,1661,46
20/2/21,Cleburne,Arkansas,5023,1863,67
20/2/21,Cleveland,Arkansas,5025,910,23
20/2/21,Columbia,Arkansas,5027,2099,53
20/2/21,Conway,Arkansas,5029,2129,31
20/2/21,Craighead,Arkansas,5031,12674,177
20/2/21,Crawford,Arkansas,5033,6687,104
20/2/21,Crittenden,Arkansas,5035,5624,94
20/2/21,Cross,Arkansas,5037,1889,47
20/2/21,Dallas,Arkansas,5039,713,12
20/2/21,Desha,Arkansas,5041,1304,21
20/2/21,Drew,Arkansas,5043,1942,35
20/2/21,Faulkner,Arkansas,5045,11550,150
20/2/21,Franklin,Arkansas,5047,1601,33
20/2/21,Fulton,Arkansas,5049,1057,44
20/2/21,Garland,Arkansas,5051,9467,231
20/2/21,Grant,Arkansas,5053,1535,32
20/2/21,Greene,Arkansas,5055,5765,74
20/2/21,Hempstead,Arkansas,5057,1794,18
20/2/21,Hot Spring,Arkansas,5059,4711,68
20/2/21,Howard,Arkansas,5061,1505,24
20/2/21,Independence,Arkansas,5063,3644,120
20/2/21,Izard,Arkansas,5065,1640,39
20/2/21,Jackson,Arkansas,5067,3128,33
20/2/21,Jefferson,Arkansas,5069,8514,163
20/2/21,Johnson,Arkansas,5071,2681,31
20/2/21,Lafayette,Arkansas,5073,493,7
20/2/21,Lawrence,Arkansas,5075,1994,41
20/2/21,Lee,Arkansas,5077,1632,35
20/2/21,Lincoln,Arkansas,5079,3127,42
20/2/21,Little River,Arkansas,5081,1117,40
20/2/21,Logan,Arkansas,5083,2154,18
20/2/21,Lonoke,Arkansas,5085,6652,108
20/2/21,Madison,Arkansas,5087,1396,21
20/2/21,Marion,Arkansas,5089,924,30
20/2/21,Miller,Arkansas,5091,3734,33
20/2/21,Mississippi,Arkansas,5093,5512,112
20/2/21,Monroe,Arkansas,5095,822,17
20/2/21,Montgomery,Arkansas,5097,719,28
20/2/21,Nevada,Arkansas,5099,763,24
20/2/21,Newton,Arkansas,5101,679,26
20/2/21,Ouachita,Arkansas,5103,2133,50
20/2/21,Perry,Arkansas,5105,788,8
20/2/21,Phillips,Arkansas,5107,1672,33
20/2/21,Pike,Arkansas,5109,947,22
20/2/21,Poinsett,Arkansas,5111,3052,75
20/2/21,Polk,Arkansas,5113,1854,62
20/2/21,Pope,Arkansas,5115,7605,101
20/2/21,Prairie,Arkansas,5117,857,24
20/2/21,Pulaski,Arkansas,5119,36641,571
20/2/21,Randolph,Arkansas,5121,1921,49
20/2/21,Saline,Arkansas,5125,11247,162
20/2/21,Scott,Arkansas,5127,924,14
20/2/21,Searcy,Arkansas,5129,641,15
20/2/21,Sebastian,Arkansas,5131,14393,258
20/2/21,Sevier,Arkansas,5133,2558,28
20/2/21,Sharp,Arkansas,5135,1511,50
20/2/21,St. Francis,Arkansas,5123,3412,37
20/2/21,Stone,Arkansas,5137,950,30
20/2/21,Union,Arkansas,5139,3612,100
20/2/21,Unknown,Arkansas,,2819,0
20/2/21,Van Buren,Arkansas,5141,1152,17
20/2/21,Washington,Arkansas,5143,29053,329
20/2/21,White,Arkansas,5145,7055,105
20/2/21,Woodruff,Arkansas,5147,611,10
20/2/21,Yell,Arkansas,5149,3313,67
20/2/21,Alameda,California,6001,79492,1175
20/2/21,Alpine,California,6003,77,0
20/2/21,Amador,California,6005,3426,39
20/2/21,Butte,California,6007,10823,156
20/2/21,Calaveras,California,6009,1856,25
20/2/21,Colusa,California,6011,2117,13
20/2/21,Contra Costa,California,6013,61469,654
20/2/21,Del Norte,California,6015,959,5
20/2/21,El Dorado,California,6017,8882,93
20/2/21,Fresno,California,6019,93973,1367
20/2/21,Glenn,California,6021,2664,23
20/2/21,Humboldt,California,6023,3067,32
20/2/21,Imperial,California,6025,26840,583
20/2/21,Inyo,California,6027,1212,34
20/2/21,Kern,California,6029,101613,761
20/2/21,Kings,California,6031,21853,214
20/2/21,Lake,California,6033,3078,40
20/2/21,Lassen,California,6035,5558,19
20/2/21,Los Angeles,California,6037,1179633,19793
20/2/21,Madera,California,6039,15222,201
20/2/21,Marin,California,6041,12919,194
20/2/21,Mariposa,California,6043,389,7
20/2/21,Mendocino,California,6045,3781,43
20/2/21,Merced,California,6047,28489,388
20/2/21,Modoc,California,6049,446,4
20/2/21,Mono,California,6051,1186,4
20/2/21,Monterey,California,6053,41884,315
20/2/21,Napa,California,6055,8900,67
20/2/21,Nevada,California,6057,3863,74
20/2/21,Orange,California,6059,258991,3770
20/2/21,Placer,California,6061,19520,229
20/2/21,Plumas,California,6063,624,6
20/2/21,Riverside,California,6065,287534,3633
20/2/21,Sacramento,California,6067,91814,1431
20/2/21,San Benito,California,6069,5699,57
20/2/21,San Bernardino,California,6071,284280,2557
20/2/21,San Diego,California,6073,256576,3188
20/2/21,San Francisco,California,6075,33749,394
20/2/21,San Joaquin,California,6077,65891,1026
20/2/21,San Luis Obispo,California,6079,19340,217
20/2/21,San Mateo,California,6081,38256,497
20/2/21,Santa Barbara,California,6083,31432,394
20/2/21,Santa Clara,California,6085,108800,1729
20/2/21,Santa Cruz,California,6087,14438,172
20/2/21,Shasta,California,6089,10868,172
20/2/21,Sierra,California,6091,47,0
20/2/21,Siskiyou,California,6093,1701,13
20/2/21,Solano,California,6095,29771,161
20/2/21,Sonoma,California,6097,27606,291
20/2/21,Stanislaus,California,6099,55081,926
20/2/21,Sutter,California,6101,8766,94
20/2/21,Tehama,California,6103,4535,51
20/2/21,Trinity,California,6105,283,5
20/2/21,Tulare,California,6107,47399,720
20/2/21,Tuolumne,California,6109,3870,56
20/2/21,Ventura,California,6111,76582,782
20/2/21,Yolo,California,6113,12606,181
20/2/21,Yuba,California,6115,5681,36
20/2/21,Adams,Colorado,8001,48525,626
20/2/21,Alamosa,Colorado,8003,1252,28
20/2/21,Arapahoe,Colorado,8005,48494,688
20/2/21,Archuleta,Colorado,8007,629,1
20/2/21,Baca,Colorado,8009,270,4
20/2/21,Bent,Colorado,8011,1469,21
20/2/21,Boulder,Colorado,8013,18560,245
20/2/21,Broomfield,Colorado,8014,3646,74
20/2/21,Chaffee,Colorado,8015,1411,23
20/2/21,Cheyenne,Colorado,8017,125,5
20/2/21,Clear Creek,Colorado,8019,356,2
20/2/21,Conejos,Colorado,8021,430,7
20/2/21,Costilla,Colorado,8023,178,2
20/2/21,Crowley,Colorado,8025,1957,14
20/2/21,Custer,Colorado,8027,164,1
20/2/21,Delta,Colorado,8029,2437,58
20/2/21,Denver,Colorado,8031,58432,765
20/2/21,Dolores,Colorado,8033,67,0
20/2/21,Douglas,Colorado,8035,21225,230
20/2/21,Eagle,Colorado,8037,4878,20
20/2/21,El Paso,Colorado,8041,50831,741
20/2/21,Elbert,Colorado,8039,1251,12
20/2/21,Fremont,Colorado,8043,5397,48
20/2/21,Garfield,Colorado,8045,5017,38
20/2/21,Gilpin,Colorado,8047,164,3
20/2/21,Grand,Colorado,8049,1234,5
20/2/21,Gunnison,Colorado,8051,1182,6
20/2/21,Hinsdale,Colorado,8053,17,0
20/2/21,Huerfano,Colorado,8055,300,17
20/2/21,Jackson,Colorado,8057,51,0
20/2/21,Jefferson,Colorado,8059,36435,705
20/2/21,Kiowa,Colorado,8061,91,3
20/2/21,Kit Carson,Colorado,8063,524,10
20/2/21,La Plata,Colorado,8067,2876,36
20/2/21,Lake,Colorado,8065,651,0
20/2/21,Larimer,Colorado,8069,19494,218
20/2/21,Las Animas,Colorado,8071,982,11
20/2/21,Lincoln,Colorado,8073,996,3
20/2/21,Logan,Colorado,8075,3704,63
20/2/21,Mesa,Colorado,8077,13062,190
20/2/21,Mineral,Colorado,8079,61,1
20/2/21,Moffat,Colorado,8081,656,22
20/2/21,Montezuma,Colorado,8083,1700,22
20/2/21,Montrose,Colorado,8085,3186,52
20/2/21,Morgan,Colorado,8087,2412,90
20/2/21,Otero,Colorado,8089,1836,61
20/2/21,Ouray,Colorado,8091,243,3
20/2/21,Park,Colorado,8093,537,5
20/2/21,Phillips,Colorado,8095,333,12
20/2/21,Pitkin,Colorado,8097,1939,4
20/2/21,Prowers,Colorado,8099,1157,21
20/2/21,Pueblo,Colorado,8101,14874,362
20/2/21,Rio Blanco,Colorado,8103,455,3
20/2/21,Rio Grande,Colorado,8105,680,12
20/2/21,Routt,Colorado,8107,1823,19
20/2/21,Saguache,Colorado,8109,312,4
20/2/21,San Juan,Colorado,8111,41,0
20/2/21,San Miguel,Colorado,8113,801,0
20/2/21,Sedgwick,Colorado,8115,191,2
20/2/21,Summit,Colorado,8117,2948,7
20/2/21,Teller,Colorado,8119,1242,14
20/2/21,Washington,Colorado,8121,377,12
20/2/21,Weld,Colorado,8123,24974,316
20/2/21,Yuma,Colorado,8125,698,17
20/2/21,Fairfield,Connecticut,9001,78181,2027
20/2/21,Hartford,Connecticut,9003,68527,2251
20/2/21,Litchfield,Connecticut,9005,10835,270
20/2/21,Middlesex,Connecticut,9007,10113,337
20/2/21,New Haven,Connecticut,9009,69233,1891
20/2/21,New London,Connecticut,9011,18635,403
20/2/21,Tolland,Connecticut,9013,7612,159
20/2/21,Unknown,Connecticut,,937,9
20/2/21,Windham,Connecticut,9015,9028,176
20/2/21,Kent,Delaware,10001,14042,287
20/2/21,New Castle,Delaware,10003,48047,659
20/2/21,Sussex,Delaware,10005,22253,420
20/2/21,Unknown,Delaware,,189,0
20/2/21,District of Columbia,District of Columbia,11001,39553,994
20/2/21,Alachua,Florida,12001,22102,208
20/2/21,Baker,Florida,12003,3261,54
20/2/21,Bay,Florida,12005,18223,333
20/2/21,Bradford,Florida,12007,2809,49
20/2/21,Brevard,Florida,12009,32855,722
20/2/21,Broward,Florida,12011,189125,2324
20/2/21,Calhoun,Florida,12013,1601,39
20/2/21,Charlotte,Florida,12015,10497,348
20/2/21,Citrus,Florida,12017,9551,382
20/2/21,Clay,Florida,12019,16500,297
20/2/21,Collier,Florida,12021,29652,440
20/2/21,Columbia,Florida,12023,7585,154
20/2/21,DeSoto,Florida,12027,3669,72
