"date","county","state","fips","cases","deaths"
"2/20/2021","Autauga","Alabama","1001","6092","85"
"2/20/2021","Baldwin","Alabama","1003","19392","262"
"2/20/2021","Barbour","Alabama","1005","2067","50"
"2/20/2021","Bibb","Alabama","1007","2414","58"
"2/20/2021","Blount","Alabama","1009","6040","125"
"2/20/2021","Bullock","Alabama","1011","1149","33"
"2/20/2021","Butler","Alabama","1013","1938","64"
"2/20/2021","Calhoun","Alabama","1015","12915","278"
"2/20/2021","Chambers","Alabama","1017","3364","99"
"2/20/2021","Cherokee","Alabama","1019","1753","37"
"2/20/2021","Chilton","Alabama","1021","3777","93"
"2/20/2021","Choctaw","Alabama","1023","546","23"
"2/20/2021","Clarke","Alabama","1025","3418","48"
"2/20/2021","Clay","Alabama","1027","1416","54"
"2/20/2021","Cleburne","Alabama","1029","1351","38"
"2/20/2021","Coffee","Alabama","1031","5198","96"
"2/20/2021","Colbert","Alabama","1033","5965","117"
"2/20/2021","Conecuh","Alabama","1035","1064","23"
"2/20/2021","Coosa","Alabama","1037","858","23"
"2/20/2021","Covington","Alabama","1039","3896","102"
"2/20/2021","Crenshaw","Alabama","1041","1421","52"
"2/20/2021","Cullman","Alabama","1043","8822","175"
"2/20/2021","Dale","Alabama","1045","4587","106"
"2/20/2021","Dallas","Alabama","1047","3328","138"
"2/20/2021","DeKalb","Alabama","1049","8399","173"
"2/20/2021","Elmore","Alabama","1051","9228","178"
"2/20/2021","Escambia","Alabama","1053","3740","68"
"2/20/2021","Etowah","Alabama","1055","13042","307"
"2/20/2021","Fayette","Alabama","1057","1982","54"
"2/20/2021","Franklin","Alabama","1059","3954","75"
"2/20/2021","Geneva","Alabama","1061","2370","67"
"2/20/2021","Greene","Alabama","1063","863","32"
"2/20/2021","Hale","Alabama","1065","2057","64"
"2/20/2021","Henry","Alabama","1067","1801","41"
"2/20/2021","Houston","Alabama","1069","9991","255"
"2/20/2021","Jackson","Alabama","1071","6428","99"
"2/20/2021","Jefferson","Alabama","1073","70078","1334"
"2/20/2021","Lamar","Alabama","1075","1292","32"
"2/20/2021","Lauderdale","Alabama","1077","8515","208"
"2/20/2021","Lawrence","Alabama","1079","2794","85"
"2/20/2021","Lee","Alabama","1081","14779","146"
"2/20/2021","Limestone","Alabama","1083","9253","130"
"2/20/2021","Lowndes","Alabama","1085","1298","46"
"2/20/2021","Macon","Alabama","1087","1392","43"
"2/20/2021","Madison","Alabama","1089","31869","432"
"2/20/2021","Marengo","Alabama","1091","2303","54"
"2/20/2021","Marion","Alabama","1093","2729","92"
"2/20/2021","Marshall","Alabama","1095","11165","199"
"2/20/2021","Mobile","Alabama","1097","35289","705"
"2/20/2021","Monroe","Alabama","1099","1652","38"
"2/20/2021","Montgomery","Alabama","1101","22234","481"
"2/20/2021","Morgan","Alabama","1103","13468","241"
"2/20/2021","Perry","Alabama","1105","1045","27"
"2/20/2021","Pickens","Alabama","1107","2211","53"
"2/20/2021","Pike","Alabama","1109","2907","70"
"2/20/2021","Randolph","Alabama","1111","1602","40"
"2/20/2021","Russell","Alabama","1113","3984","30"
"2/20/2021","Shelby","Alabama","1117","21565","204"
"2/20/2021","St. Clair","Alabama","1115","8705","213"
"2/20/2021","Sumter","Alabama","1119","977","31"
"2/20/2021","Talladega","Alabama","1121","7391","161"
"2/20/2021","Tallapoosa","Alabama","1123","3504","139"
"2/20/2021","Tuscaloosa","Alabama","1125","23737","404"
"2/20/2021","Walker","Alabama","1127","6443","240"
"2/20/2021","Washington","Alabama","1129","1542","32"
"2/20/2021","Wilcox","Alabama","1131","1200","25"
